latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.21429,23.3005,302.93,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,290.57,1.42,N,0
9.1915,23.44271,302.25,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,290.57,1.61,N,0
9.18872,23.4386,337.36,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,295.56,4.55,N,0
9.19101,23.42434,302.51,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,289.22,0.35,N,0
9.18815,23.44217,302.54,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,290.8,4.55,N,0
9.18538,23.43806,329.04,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,290.4,4.55,N,0
9.18203,23.43751,321.9,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.46,2.28,N,0
9.1826,23.43395,303.87,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,288.96,0.91,N,0
9.17868,23.43697,334.93,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,293.04,2.28,N,0
9.17533,23.43642,338.64,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,292.59,2.55,N,0
9.17313,23.42876,306.27,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,289.39,1.47,N,0
9.17198,23.43588,319.22,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.27,2.55,N,0
7.55195,32.80873,300.55,0.48,0.65,2023-01-01,0002,N,VIIRS,n,2,287.74,0.5,N,0
9.16978,23.42821,335.75,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.57,4.59,N,0
9.16921,23.43177,346.21,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,294.46,4.59,N,0
9.16864,23.43534,307.69,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,290.39,0.72,N,0
7.5452,32.81198,319.13,0.48,0.65,2023-01-01,0002,N,VIIRS,n,2,288.36,2.91,N,0
9.59423,20.69905,304.66,0.41,0.37,2023-01-01,0002,N,VIIRS,n,2,290.06,0.69,N,0
9.59367,20.70274,307.87,0.41,0.37,2023-01-01,0002,N,VIIRS,n,2,290.5,0.69,N,0
9.16586,23.43122,317.06,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,289.62,4.59,N,0
7.55907,32.60538,301.16,0.46,0.64,2023-01-01,0002,N,VIIRS,n,2,288.54,0.87,N,0
9.15694,23.29489,301.91,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,289.93,0.67,N,0
9.12126,23.51575,299.79,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,286.19,0.18,N,0
9.1536,23.29434,304.7,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,289.14,0.67,N,0
9.11849,23.51159,300.1,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,287.77,1.02,N,0
9.11791,23.51519,304.5,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,286.12,0.18,N,0
10.19557,16.17274,307.89,0.47,0.48,2023-01-01,0002,N,VIIRS,n,2,288.25,1.48,N,0
9.14026,23.29209,302.8,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.13,0.7,N,0
8.82031,25.19474,314.81,0.45,0.39,2023-01-01,0002,N,VIIRS,n,2,291.33,1.38,N,0
10.19605,16.17359,302.1,0.47,0.48,2023-01-01,0002,N,VIIRS,n,2,287.87,1.33,N,0
10.19164,16.17297,307.26,0.47,0.48,2023-01-01,0002,N,VIIRS,n,2,288.47,0.99,N,0
9.47679,20.93922,307.61,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,288.44,0.74,N,0
9.47624,20.94285,301.8,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,288.58,0.35,N,0
9.47398,20.93507,321.97,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,289.96,2.43,N,0
9.47342,20.9387,326.48,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,290.07,2.43,N,0
9.47286,20.94233,303.98,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,289.06,0.67,N,0
9.4723,20.94596,304.34,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,288.91,0.67,N,0
9.4706,20.93454,328.21,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,290.43,2.43,N,0
8.92269,24.34717,309.93,0.42,0.38,2023-01-01,0002,N,VIIRS,n,2,289.34,0.94,N,0
8.91925,24.34659,300.36,0.42,0.38,2023-01-01,0002,N,VIIRS,n,2,289.55,0.58,N,0
8.78436,25.16782,314.36,0.45,0.39,2023-01-01,0002,N,VIIRS,n,2,287.55,1.24,N,0
8.25711,28.2592,300.13,0.46,0.47,2023-01-01,0002,N,VIIRS,n,2,288.41,0.54,N,0
9.09562,23.12828,323.19,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.04,2.08,N,0
8.99704,23.73958,308.53,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,288.45,0.68,N,0
9.09059,23.13833,305.7,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.47,0.91,N,0
9.08775,23.15606,307.02,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,292.04,1.01,N,0
8.99484,23.73176,307.94,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,288.27,0.88,N,0
8.99425,23.7354,308.46,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,289.24,0.88,N,0
8.99366,23.73903,299.36,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,289.24,0.68,N,0
8.99308,23.74266,301.54,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,289.29,0.68,N,0
9.09175,23.10976,298.67,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,288.22,0.25,N,0
9.08383,23.15911,316.05,0.39,0.36,2023-01-01,0002,N,VIIRS,n,2,291.95,0.53,N,0
8.99265,23.72394,305.45,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,287.73,0.74,N,0
8.99206,23.72757,306.02,0.4,0.37,2023-01-01,0002,N,VIIRS,n,2,288.86,0.74,N,0
8.31106,27.77153,301.05,0.43,0.46,2023-01-01,0002,N,VIIRS,n,2,288.23,0.6,N,0
